sprint-jira,status,issue-key,story-points-original,story-points-real,backlog-sprint,dev-begin-sprint,dev-end-sprint,dev-carry,qa-begin-sprint,qa-end-sprint,qa-carry,epic,created,dev-begin-in-development,dev-end-ready-for-build,days-in-dev,qa-begin-in-qa,qa-end-qa-done,days-in-qa
Sprint 11,READY,NCIS-261,,55,5,5,14,9,18,18,0,NCIS-240,3/11/2019,3/13/2019,7/12/2019,121,9/9/2019,9/10/2019,1
Sprint 11,READY,NCIS-262,,55,5,5,14,9,17,18,1,NCIS-240,3/11/2019,3/15/2019,7/12/2019,119,8/29/2019,9/10/2019,12
Sprint 11,READY,NCIS-333,,34,9,11,14,3,14,14,0,NCIS-179,5/9/2019,5/29/2019,7/8/2019,40,7/15/2019,7/18/2019,3
Sprint 11,READY,NCIS-349,,21,10,10,11,1,12,13,1,NCIS-221,5/15/2019,5/15/2019,6/6/2019,22,6/10/2019,7/2/2019,22
Sprint 11,READY,NCIS-391,,34,11,11,14,3,14,14,0,NCIS-179,5/28/2019,6/3/2019,7/8/2019,35,7/15/2019,7/18/2019,3
Sprint 11,READY,NCIS-392,,21,11,11,13,2,14,14,0,NCIS-179,5/28/2019,6/4/2019,7/2/2019,28,7/15/2019,7/18/2019,3
Sprint 11,READY,NCIS-393,,55,11,11,14,3,14,14,0,NCIS-221,5/28/2019,5/28/2019,7/12/2019,45,7/15/2019,7/16/2019,1
Sprint 11,READY,NCIS-394,,34,11,11,13,2,14,14,0,NCIS-221,5/28/2019,5/30/2019,7/2/2019,33,7/15/2019,7/16/2019,1
Sprint 11,READY,NCIS-396,,21,11,11,13,2,14,14,0,NCIS-221,5/28/2019,6/5/2019,7/2/2019,27,7/15/2019,7/16/2019,1
Sprint 11,READY,NCIS-397,,34,11,11,14,3,14,14,0,NCIS-221,5/28/2019,6/4/2019,7/12/2019,38,7/15/2019,7/18/2019,3
Sprint 11,READY,NCIS-398,,34,11,11,14,3,14,14,0,NCIS-221,5/28/2019,6/7/2019,7/12/2019,35,7/15/2019,7/16/2019,1
Sprint 11,READY,NCIS-404,,34,11,11,14,3,14,14,0,NCIS-221,6/4/2019,6/5/2019,7/12/2019,37,7/15/2019,7/16/2019,1
Sprint 12,IN-QA,NCIS-232,,55,4,12,18,6,18,#N/A,#N/A,NCIS-240,2/20/2019,6/12/2019,9/4/2019,84,9/11/2019,,5
Sprint 12,READY,NCIS-406,,21,11,12,13,1,17,18,1,NCIS-418,6/4/2019,6/17/2019,7/3/2019,16,8/29/2019,9/9/2019,11
Sprint 12,READY,NCIS-413,,21,11,12,13,1,17,18,1,NCIS-421,6/6/2019,6/12/2019,7/3/2019,21,8/29/2019,9/9/2019,11
Sprint 12,READY,NCIS-415,8,21,11,15,16,1,17,18,1,NCIS-179,6/6/2019,7/31/2019,8/16/2019,16,8/29/2019,9/10/2019,12
Sprint 12,READY,NCIS-416,3,21,11,12,14,2,17,18,1,NCIS-418,6/6/2019,6/17/2019,7/12/2019,25,8/29/2019,9/10/2019,12
Sprint 12,OPEN,NCIS-417,,#N/A,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-418,6/6/2019,,,0,,,0
Sprint 14,READY,NCIS-176,,21,3,12,13,1,14,14,0,NCIS-418,2/12/2019,6/10/2019,7/2/2019,22,7/15/2019,7/17/2019,2
Sprint 14,READY,NCIS-220,,34,4,12,14,2,14,14,0,NCIS-418,2/20/2019,6/11/2019,7/12/2019,31,7/15/2019,7/19/2019,4
Sprint 15,READY,NCIS-214,,55,4,12,16,4,17,17,0,NCIS-239,2/20/2019,6/19/2019,8/16/2019,58,8/22/2019,8/27/2019,5
Sprint 15,READY,NCIS-450,,13,10,15,16,1,17,18,1,NCIS-448,6/22/2019,7/23/2019,8/5/2019,13,8/29/2019,9/9/2019,11
Sprint 15,READY,NCIS-451,3,21,10,15,16,1,17,18,1,NCIS-448,6/22/2019,7/31/2019,8/16/2019,16,8/29/2019,9/9/2019,11
Sprint 15,READY,NCIS-453,8,21,10,13,15,2,15,15,0,NCIS-448,6/22/2019,7/3/2019,7/23/2019,20,7/23/2019,7/23/2019,0
Sprint 15,READY,NCIS-495,,21,14,15,16,1,17,#N/A,#N/A,NCIS-543,7/10/2019,7/23/2019,8/16/2019,24,8/29/2019,,18
Sprint 15,READY,NCIS-499,,13,14,15,16,1,#N/A,#N/A,#N/A,NCIS-637,7/12/2019,8/1/2019,8/16/2019,15,,,0
Sprint 15,READY,NCIS-501,,13,14,15,16,1,#N/A,#N/A,#N/A,NCIS-588,7/12/2019,8/1/2019,8/16/2019,15,,,0
Sprint 15,BA-SO,NCIS-502,3,13,14,15,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-618,7/12/2019,9/2/2019,,14,,,0
Sprint 15,READY,NCIS-516,,21,15,15,16,1,17,18,1,NCIS-699,7/25/2019,7/25/2019,8/15/2019,21,8/22/2019,9/3/2019,12
Sprint 15,BA-SO,NCIS-522,5,21,15,17,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-593,7/28/2019,8/20/2019,,27,,,0
Sprint 16,READY,NCIS-419,5,8,11,16,16,0,17,18,1,NCIS-179,6/7/2019,8/9/2019,8/16/2019,7,8/22/2019,9/3/2019,12
Sprint 16,IN-QA,NCIS-455,3,55,10,13,18,5,18,#N/A,#N/A,NCIS-448,6/22/2019,6/26/2019,9/3/2019,69,9/11/2019,,5
Sprint 16,IN-QA,NCIS-456,5,55,10,13,18,5,18,#N/A,#N/A,NCIS-448,6/22/2019,7/2/2019,9/3/2019,63,9/11/2019,,5
Sprint 16,IN-DEV,NCIS-527,,21,16,17,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-504,8/5/2019,8/19/2019,,28,,,0
Sprint 16,IN-DEV,NCIS-538,,55,16,16,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-530,8/5/2019,8/5/2019,,42,,,0
Sprint 16,READY,NCIS-539,,13,16,16,17,1,17,17,0,NCIS-530,8/5/2019,8/5/2019,8/20/2019,15,8/29/2019,8/29/2019,0
Sprint 16,READY,NCIS-540,,13,16,16,17,1,17,17,0,NCIS-530,8/5/2019,8/5/2019,8/20/2019,15,8/29/2019,8/29/2019,0
Sprint 16,READY,NCIS-541,,13,16,16,17,1,17,17,0,NCIS-530,8/5/2019,8/5/2019,8/20/2019,15,8/29/2019,8/29/2019,0
Sprint 17,IN-QA,NCIS-491,5,13,14,17,18,1,18,#N/A,#N/A,NCIS-678,7/9/2019,8/19/2019,9/3/2019,15,9/11/2019,,5
Sprint 17,BLOCK,NCIS-542,,21,16,17,#N/A,#N/A,#N/A,#N/A,#N/A,,8/6/2019,8/29/2019,,18,,,0
Sprint 17,IN-QA,NCIS-561,2,13,17,17,18,1,18,#N/A,#N/A,NCIS-560,8/19/2019,8/19/2019,9/3/2019,15,9/10/2019,,6
Sprint 17,IN-QA,NCIS-562,1,13,17,17,18,1,18,#N/A,#N/A,NCIS-560,8/19/2019,8/22/2019,9/3/2019,12,9/10/2019,,6
Sprint 17,IN-QA,NCIS-563,,8,17,17,17,0,18,#N/A,#N/A,NCIS-691,8/19/2019,8/20/2019,8/27/2019,7,9/11/2019,,5
Sprint 17,BLOCK,NCIS-564,,21,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,,8/19/2019,8/22/2019,,25,,,0
Sprint 17,BA-SO,NCIS-565,8,21,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-648,8/19/2019,8/20/2019,,27,,,0
Sprint 17,BA-SO,NCIS-568,5,21,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-552,8/20/2019,8/20/2019,,27,,,0
Sprint 17,NO-DEV,NCIS-572,,#N/A,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-571,8/20/2019,,,0,,,0
Sprint 17,IN-DEV,NCIS-574,3,21,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-234,8/21/2019,8/21/2019,,26,,,0
Sprint 17,NO-DEV,NCIS-577,,21,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,,8/22/2019,8/23/2019,,24,,,0
Sprint 17,IN-DEV,NCIS-578,3,21,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-235,8/23/2019,8/23/2019,,24,,,0
Sprint 17,IN-DEV,NCIS-581,5,21,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-659,8/26/2019,8/27/2019,,20,,,0
Sprint 17,BA-SO,NCIS-760,2,8,18,18,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-659,9/3/2019,9/6/2019,,10,,,0
Sprint 18,IN-DEV,NCIS-470,5,13,13,18,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-504,6/28/2019,9/5/2019,,11,,,0
Sprint 18,READY,NCIS-551,,13,16,16,17,1,18,18,0,NCIS-744,8/13/2019,8/15/2019,8/28/2019,13,9/10/2019,9/11/2019,1
Sprint 18,OPEN,NCIS-745,8,#N/A,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-576,8/28/2019,,,0,,,0
Sprint 18,IN-DEV,NCIS-749,3,21,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-553,8/28/2019,8/28/2019,,19,,,0
Sprint 18,IN-DEV,NCIS-754,3,8,17,18,#N/A,#N/A,#N/A,#N/A,#N/A,NCIS-699,8/30/2019,9/6/2019,,10,,,0
